work_id,title,collection_id,topic_family,source_mode,chunk_count,paragraph_count,section_count,thin_band,review_class,recommended_action,heuristic_score,family_id,family_label,family_work_count,family_chunked_count,member_role,reference_signals,fragment_signals,heuristic_reasons,manifest_path
nlm-64220540R,"Domestic medicine : a treatise on the practice of medicine, adapted to the reformed system, comprising a materia medica",nlm-digital-collections,materia-medica;domestic-medicine,,10,13,1,micro,severe-thin-reference,keep-but-review-retrieval-weight,196,family-domestic-medicine-kost-j1-c3df9c0fe1,Domestic medicine,2,2,canonical,materia-medica,,micro-length;single-section-shape;multi-work-family;reference-shaped-title:materia-medica,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-64220540R\manifest.json
wellcome-vguexnkc,"The universal herbal; or, botanical, medical, and agricultural dictionary / [Thomas Green].",wellcome-collection,herbal;botany,,12,12,1,micro,severe-thin-reference,keep-but-review-retrieval-weight,188,family-universal-herbal-or-botanical-medical-and-agricu-e9305ff49d,"The universal herbal; or, botanical, medical, and agricultural dictionary",2,2,copy,herbal;botany;dictionary,,micro-length;single-section-shape;multi-work-family;reference-shaped-title:herbal|botany|dictionary,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-vguexnkc\manifest.json
nlm-101727470,"Pharmacopoeia of St. Luke's Hospital, New York",nlm-digital-collections,pharmacopoeia,,8,8,1,micro,severe-thin-reference,keep-but-review-retrieval-weight,184,family-pharmacopoeia-of-st-lukes-hospital-new-york-hosp-e41c1822f3,"Pharmacopoeia of St. Luke's Hospital, New York",1,1,canonical,pharmacopoeia,,micro-length;single-section-shape;reference-shaped-title:pharmacopoeia,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-101727470\manifest.json
wellcome-ccpqt4fy,Solanum dulcamara as a medicinal plant / by John Harley.,wellcome-collection,medicinal-plants,wellcome_text_api,9,9,1,micro,severe-thin-reference,keep-but-review-retrieval-weight,184,family-solanum-dulcamara-as-a-medicinal-plant-unknown-431f1fe5c0,Solanum dulcamara as a medicinal plant,1,1,canonical,medicinal-plants,,micro-length;single-section-shape;reference-shaped-title:medicinal-plants,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-ccpqt4fy\manifest.json
wellcome-xf5rzj2x,"Cure yourself with herbal remedies / [Potter & Clarke, Ltd].",wellcome-collection,herbal,wellcome_text_api,10,11,1,micro,severe-thin-reference,keep-but-review-retrieval-weight,184,family-cure-yourself-with-herbal-remedies-unknown-7f3894f43b,Cure yourself with herbal remedies,1,1,canonical,herbal,,micro-length;single-section-shape;reference-shaped-title:herbal,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-xf5rzj2x\manifest.json
nlm-101626004,"Address of the faculty, with the annual report, and catalogue for 1846-'7 and programme of the ensuing sessions, of 1847-'48",nlm-digital-collections,herbal,,34,34,1,severe-thin,severe-thin-fragment,review-for-quarantine-or-lower-weight,180,family-address-of-the-faculty-with-the-annual-report-an-e2b1caa56a,"Address of the faculty, with the annual report, and catalogue for 1846-'7 and programme of the ensuing sessions, of 1847-'48",1,1,canonical,,report;address,severe-thin-length;single-section-shape;fragment-shaped-title:report|address,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-101626004\manifest.json
nlm-64210830R,"The new system of medical treatment : an independent, eclectic, restorative and cleansing guide to health : the people's pocket companion",nlm-digital-collections,domestic-medicine,,8,25,3,micro,severe-thin-reference,keep-but-review-retrieval-weight,178,family-new-system-of-medical-treatment-davis-cs-3a838ae65c,The new system of medical treatment,2,1,canonical,manual,,micro-length;multi-work-family;reference-shaped-title:manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-64210830R\manifest.json
wellcome-w7w4mv4e,"An address, introductory to opening the Southern Botanico Medical College : for the session of 1842-3 / by A.M. Spalding.",wellcome-collection,herbal,wellcome_text_api,26,29,1,severe-thin,severe-thin-fragment,review-family-supplement-weight,166,family-address-introductory-to-opening-the-southern-bot-652428c611,"An address, introductory to opening the Southern Botanico Medical College",2,1,canonical,,address,severe-thin-length;single-section-shape;fragment-shaped-title:address;multi-work-family,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-w7w4mv4e\manifest.json
wellcome-qcmagumn,Additions to the British pharmacopœia of 1867 : published under the direction of the General Council of Medical Education and Registration of the United Kingdom.,wellcome-collection,materia-medica;pharmacopoeia,wellcome_text_api,30,30,1,severe-thin,severe-thin-fragment,review-for-quarantine-or-lower-weight,154,family-additions-to-the-british-pharmacopoeia-of-1867-u-299e27e8c9,Additions to the British pharmacopoeia of 1867,1,1,canonical,,additions,severe-thin-length;single-section-shape;fragment-shaped-title:additions,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-qcmagumn\manifest.json
nlm-63570320R,"American family physician : detailing important means of preserving health, from infancy to old age : the offices women should perform to each other at births, and the diseases peculiar to the sex, also those of children and adults : with an appendix containing hints respecting the treatment of domestic animals, and the best means of preserving fish and meat",nlm-digital-collections,domestic-medicine;hygiene,,17,35,5,severe-thin,severe-thin-fragment,review-family-supplement-weight,148,family-american-family-physician-ewell-t1-8f6f1733df,American family physician,4,1,canonical,,appendix,severe-thin-length;fragment-shaped-title:appendix;multi-work-family,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-63570320R\manifest.json
nlm-101174956,"A comprehensive medical dictionary : containing the pronunciation, etymology, and signification of the terms made use of in medicine and the kindred sciences : with an appendix, comprising a complete list of all the more important articles of the materia medica , arranged according to their medicinal properties : also an explanation of the Latin terms and phrases occurring in anatomy, pharmacy, etc. together with the necessary directions for writing Latin prescriptions, etc. etc",nlm-digital-collections,materia-medica,,46,48,1,severe-thin,severe-thin-fragment,review-family-supplement-weight,148,family-comprehensive-medical-dictionary-thomas-j1-b6afbe6678,A comprehensive medical dictionary,4,1,canonical,materia-medica;dictionary,appendix,severe-thin-length;single-section-shape;fragment-shaped-title:appendix;multi-work-family;reference-shaped-title:materia-medica|dictionary,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-101174956\manifest.json
wellcome-xtjwwtfm,Medical sketches / by George Kerr.,wellcome-collection,herbal;materia-medica,,34,36,1,severe-thin,thin-general,review-for-quarantine-or-lower-weight,140,family-medical-sketches-unknown-9974af44b5,Medical sketches,2,2,canonical,,,severe-thin-length;single-section-shape;multi-work-family,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-xtjwwtfm\manifest.json
wellcome-wkjphuw8,"Address to the public, on the principles of medical botany : with an enumeration of the herbs; and retail price list of herbs, roots, barks, and compounds, used in the botanic practice, as introduced into England by Dr. Coffin / issued by J. Nadin, medical botanist ... [etc.].",wellcome-collection,herbal;medical-botany;botany,,38,42,1,severe-thin,severe-thin-fragment,keep-but-review-retrieval-weight,140,family-address-to-the-public-on-the-principles-of-medic-f5a5995b6f,"Address to the public, on the principles of medical botany",1,1,canonical,botany,address,severe-thin-length;single-section-shape;fragment-shaped-title:address;reference-shaped-title:botany,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-wkjphuw8\manifest.json
nlm-101707627,School hygiene,nlm-digital-collections,hygiene;public-health,,48,49,1,severe-thin,thin-general,review-for-quarantine-or-lower-weight,140,family-school-hygiene-formento-f1-bc49a317a2,School hygiene,2,1,canonical,,,severe-thin-length;single-section-shape;multi-work-family,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-101707627\manifest.json
nlm-61560590R,"Essays on some of the most important articles of the materia medica : comprising a full account of all the new proximate principles, and the popular medicines lately introduced in practice, detailing the formulas for their preparation, their habitudes and peculiarities, doses and modes of administration, with remarks on the most eligible form of their exhibition : to which is added a catalogue of medicines, surgical instruments, &c, &c : adapted for a physician at the outset of his practice, with the doses and effects attached to each medicine, &c, &c",nlm-digital-collections,materia-medica,,14,33,8,severe-thin,severe-thin-fragment,review-family-supplement-weight,134,family-essays-on-some-of-the-most-important-articles-of-c4f6482c0e,Essays on some of the most important articles of the materia medica,2,1,canonical,materia-medica,remarks,severe-thin-length;fragment-shaped-title:remarks;multi-work-family;reference-shaped-title:materia-medica,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-61560590R\manifest.json
nlm-7703898,"Every man's doctor, or, Family guide to health : containing a condensed description of the various causes and symptoms of diseases : with an appendix showing the medical properties of the most valuable roots and herbs : to which is added 150 recipes",nlm-digital-collections,herbal;domestic-medicine,,25,37,9,severe-thin,severe-thin-fragment,review-family-supplement-weight,134,family-every-mans-doctor-or-family-guide-to-health-unkn-0be59bc680,"Every man's doctor, or, Family guide to health",2,2,copy,manual,appendix,severe-thin-length;fragment-shaped-title:appendix;multi-work-family;reference-shaped-title:manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-7703898\manifest.json
wellcome-kt3tqw5j,"Cerevisia anglicana, or, English herb diet-drink : discovered by Joshua Webster, M.D / Edwd. Slee & Co.",wellcome-collection,herbal,wellcome_text_api,22,22,1,severe-thin,thin-general,review-for-quarantine-or-lower-weight,128,family-cerevisia-anglicana-or-english-herb-diet-drink-u-5b497489aa,"Cerevisia anglicana, or, English herb diet-drink",1,1,canonical,,,severe-thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-kt3tqw5j\manifest.json
wellcome-udrftdvz,Medical and miscellaneous recipes : from the best recipes to be had / compiled and to be had only from D. Slater.,wellcome-collection,materia-medica;household-health,wellcome_text_api,22,22,1,severe-thin,thin-general,review-for-quarantine-or-lower-weight,128,family-medical-and-miscellaneous-recipes-unknown-7e28dcab2a,Medical and miscellaneous recipes,1,1,canonical,,,severe-thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-udrftdvz\manifest.json
nlm-63610610R,"The American botanist, and family physician : in which the medical virtues of the mineral, animal and vegetable productions of North America are exhibited, together with their uses in the practice of physic and surgery : some of which are selected from Dr. Stearns, and other authors, but mostly original : comprehending a treatise upon the principal disorders of the climate, together with directions for preparing, compounding, and applying proper medicines for their cure : likewise, a large number of Indian discoveries in the medical art, never before published",nlm-digital-collections,domestic-medicine,,26,28,1,severe-thin,thin-general,review-for-quarantine-or-lower-weight,128,family-american-botanist-and-family-physician-monroe-ja-63e5fce3bc,"The American botanist, and family physician",1,1,canonical,,,severe-thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-63610610R\manifest.json
wellcome-zxe4fa83,Apuntes sobre el huaco / por Juan Luis Chabert.,wellcome-collection,herbal,wellcome_text_api,26,30,1,severe-thin,thin-general,review-for-quarantine-or-lower-weight,128,family-apuntes-sobre-el-huaco-unknown-747159cd2c,Apuntes sobre el huaco,1,1,canonical,,,severe-thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-zxe4fa83\manifest.json
pg-12522,"An Account of the Extraordinary Medicinal Fluid, called Aether.",project-gutenberg,materia-medica,,27,50,1,severe-thin,thin-general,review-for-quarantine-or-lower-weight,128,family-account-of-the-extraordinary-medicinal-fluid-cal-6f86ac0dc8,"An Account of the Extraordinary Medicinal Fluid, called Aether.",1,1,canonical,,,severe-thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\pg-12522\manifest.json
nlm-63560570R,"The family physician, and domestic practice of medicine",nlm-digital-collections,domestic-medicine,,28,34,1,severe-thin,thin-general,review-for-quarantine-or-lower-weight,128,family-family-physician-and-domestic-practice-of-medici-32b569400f,"The family physician, and domestic practice of medicine",1,1,canonical,,,severe-thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-63560570R\manifest.json
wellcome-z6enxmtc,"The family surgeon and physician ; or, every man his own doctor : containing ... prescriptions for curing various diseases of the human body, from drugs and herbs ... also, a collection of receipts, for cattle, etc / [Robert Boyce].",wellcome-collection,herbal,wellcome_text_api,34,35,1,severe-thin,thin-general,review-for-quarantine-or-lower-weight,128,family-family-surgeon-and-physician-unknown-d4a4971f08,The family surgeon and physician,1,1,canonical,,,severe-thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-z6enxmtc\manifest.json
nlm-2559008R,"Jewett's Family physician : the iatroleptic practice or medicine, or the curing of diseases principally by external application and friction",nlm-digital-collections,domestic-medicine,,35,74,1,severe-thin,thin-general,review-for-quarantine-or-lower-weight,128,family-jewetts-family-physician-jewett-m1-eddf6553a7,Jewett's Family physician,1,1,canonical,,,severe-thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-2559008R\manifest.json
wellcome-q2sqr4s9,Probadas flores : romanas de famosos & doctos varones compuestas para salud reparo d'los cuerpos humanos & ge[n]tilezas de hombres de palacio & de cria[n]ça tra[n]sladadas de le[n]gua ytaliana en nuestra española. Nueuame[n]te impressas corregidas: y emendadas con additiones.,wellcome-collection,herbal;materia-medica;botany,,35,40,1,severe-thin,thin-general,review-for-quarantine-or-lower-weight,128,family-probadas-flores-unknown-83115a50f3,Probadas flores,1,1,canonical,,,severe-thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-q2sqr4s9\manifest.json
wellcome-czg8xr89,"A retail price list of herbs, roots, barks, and botanic medicines ... to be had at Dale's Botanic Medical Hall ... Glasgow.",wellcome-collection,herbal;botany,,39,39,1,severe-thin,thin-general,review-for-quarantine-or-lower-weight,128,family-retail-price-list-of-herbs-roots-barks-and-botan-1ecc484a0a,"A retail price list of herbs, roots, barks, and botanic medicines ... to be had at Dale's Botanic Medical Hall ... Glasgow.",1,1,canonical,,,severe-thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-czg8xr89\manifest.json
wellcome-tdye7f29,"An essay upon the virtues of Balm of Gilead. : With a copper-plate of the balsam-tree, guarded by a Janissary. As it now grows in the Garden of Mecha, subject to the Prince of Arabia Felix in Asia. The second edition. To which is added, an account of the essence of that noble medicine, and proper directions for taking it ; together with those Rules and the Diet necessary to be observed during the Course.",wellcome-collection,medicinal-plants,wellcome_text_api,40,48,1,severe-thin,thin-general,review-for-quarantine-or-lower-weight,128,family-essay-upon-the-virtues-of-balm-of-gilead-unknown-6d0349e571,An essay upon the virtues of Balm of Gilead.,1,1,canonical,,,severe-thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-tdye7f29\manifest.json
nlm-9701530,The ethical relations existing between medicine and pharmacy : with illustrations of an improved method for the collective and scientific investigation of new drugs,nlm-digital-collections,materia-medica,,41,43,1,severe-thin,thin-general,review-for-quarantine-or-lower-weight,128,family-ethical-relations-existing-between-medicine-and--a101bd0d07,The ethical relations existing between medicine and pharmacy,1,1,canonical,,,severe-thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-9701530\manifest.json
wellcome-gwm7j3ud,A memoir of the life and writings of John Ayrton Paris ... / by William Munk.,wellcome-collection,herbal,wellcome_text_api,42,43,1,severe-thin,thin-general,review-for-quarantine-or-lower-weight,128,family-memoir-of-the-life-and-writings-of-john-ayrton-p-e8757e5d38,A memoir of the life and writings of John Ayrton Paris ...,1,1,canonical,,,severe-thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-gwm7j3ud\manifest.json
wellcome-wc3dvzm3,Du jequirity dans le traitement de l'ophthalmie granulaire / par le docteur Coppez.,wellcome-collection,herbal,wellcome_text_api,44,49,1,severe-thin,thin-general,review-for-quarantine-or-lower-weight,128,family-du-jequirity-dans-le-traitement-de-lophthalmie-g-37fb9f7780,Du jequirity dans le traitement de l'ophthalmie granulaire,1,1,canonical,,,severe-thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-wc3dvzm3\manifest.json
nlm-63610280R,"A compendium of domestic medicine , and health-adviser : containing a statement of the modes of curing the diseases to which man is liable, and directions in case of accidents on the road or at sea : with a full account of epidemic cholera, of dyspepsia, and of sick-headache, their causes, cure, and prevention : and a popular description of the human teeth, their formation, diseases, and treatment",nlm-digital-collections,domestic-medicine,,48,49,1,severe-thin,thin-general,review-for-quarantine-or-lower-weight,128,family-compendium-of-domestic-medicine-and-health-advis-7abd9a29a1,"A compendium of domestic medicine , and health-adviser",1,1,canonical,,,severe-thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-63610280R\manifest.json
wellcome-csf9wcft,"The ""Winged Lion"" receipt book, or, How to cure all common complaints with simple herbal remedies ... / [Potter & Clarke, Ltd.].",wellcome-collection,herbal,wellcome_text_api,17,18,1,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,126,family-winged-lion-receipt-book-or-how-to-cure-all-comm-cc5c6e0227,"The ""Winged Lion"" receipt book, or, How to cure all common complaints with simple herbal remedies...",2,2,copy,herbal,,severe-thin-length;single-section-shape;multi-work-family;reference-shaped-title:herbal,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-csf9wcft\manifest.json
wellcome-m6sypr27,"The ""Winged Lion"" receipt book, or, How to cure all common complaints with simple herbal remedies... / [Potter & Clarke, Ltd].",wellcome-collection,herbal,wellcome_text_api,19,20,1,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,126,family-winged-lion-receipt-book-or-how-to-cure-all-comm-cc5c6e0227,"The ""Winged Lion"" receipt book, or, How to cure all common complaints with simple herbal remedies...",2,2,canonical,herbal,,severe-thin-length;single-section-shape;multi-work-family;reference-shaped-title:herbal,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-m6sypr27\manifest.json
wellcome-zyrjm2x8,"This day is published, by H.D. Symonds, ... Mathews, ... London, and all other booksellers, an entire new and elegant edition ... of that interesting publication, entitled ""Solomon's Guide to Health,"" or, Advice to both sexes, in a variety of complaints.",wellcome-collection,domestic-medicine,wellcome_text_api,23,23,1,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,126,family-this-day-is-published-by-h-d-symonds-mathews-lon-e51f286c95,"This day is published, by H.D. Symonds, ... Mathews, ... London, and all other booksellers, an entire new and elegant edition ... of that interesting publication, entitled ""Solomon's Guide to Health,"" or, Advice to both sexes, in a variety of complaints.",2,1,canonical,manual,,severe-thin-length;single-section-shape;multi-work-family;reference-shaped-title:manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-zyrjm2x8\manifest.json
