rank,frontier_score,frontier_stage,family_id,family_label,canonical_work_id,family_work_count,family_chunked_count,family_discovered_count,family_failed_count,family_collection_ids,family_jurisdiction_lanes,family_topic_family,candidate_work_id,candidate_title,candidate_collection_id,candidate_jurisdiction_lane,candidate_creator,candidate_publication_year,candidate_ingest_status,candidate_member_role,candidate_volume_like,candidate_series_title_key,candidate_creator_title_key,candidate_priority_score,candidate_title_penalty,candidate_topic_score,candidate_archive_series_count,candidate_archive_creator_series_count,candidate_archive_series_penalty,candidate_archive_creator_series_penalty,rationale
11,1482,uncovered_family,family-draft-of-a-metropolitan-sanitary-code-clark-hg1-3ed323eeba,Draft of a metropolitan sanitary code,nlm-100961073,2,0,2,0,nlm-digital-collections,US,hygiene;public-health,nlm-100961073,Draft of a metropolitan sanitary code : reported to the Committee on Internal Hygiene,nlm-digital-collections,US,"Clark, Henry G. (Henry Grafton), 1804?-1892.",,discovered,canonical,no,draft of a metropolitan sanitary code,clark henry g 1804 1892::draft of a metropolitan sanitary code,470,0,56,0,0,0,0,Uncovered family; 2 works in family; 0 chunked; 2 discovered; topics: hygiene;public-health; recommended lane: nlm-digital-collections; canonical candidate
12,1477,uncovered_family,family-course-of-examinations-on-anatomy-and-physiology-bedbf8da96,"A course of examinations on anatomy and physiology, surgery, chemistry, materia medica , midwifery, and the practice of medicine",nlm-2546065R,2,0,2,0,nlm-digital-collections,US,materia-medica,nlm-2546065R,"A course of examinations on anatomy and physiology, surgery, chemistry, materia medica , midwifery, and the practice of medicine : adapted to the University of Pennsylvania, and the other medical schools in the United States",nlm-digital-collections,US,"Condie, D. Francis (David Francis), 1796-1875.",,discovered,canonical,no,course of examinations on anatomy and physiology surgery chemistry materia medica midwifery and the practice of medicine,condie d francis 1796 1875::course of examinations on anatomy and physiology surgery chemistry materia medica midwifery and the practice of medicine,469,0,52,0,0,0,0,Uncovered family; 2 works in family; 0 chunked; 2 discovered; topics: materia-medica; recommended lane: nlm-digital-collections; canonical candidate
13,1477,uncovered_family,family-diseases-of-children-for-nurses-mccombs-rs1-92509ab7c6,Diseases of children for nurses,nlm-54530510R,2,0,2,0,nlm-digital-collections,US,hygiene;nursing,nlm-54530510R,"Diseases of children for nurses : including infant feeding, therapeutic measures employed in childhood, treatment for emergencies, prophylaxis, hygiene , and nursing",nlm-digital-collections,US,"McCombs, Robert S. (Robert Shelmerdine), 1880- author.",,discovered,canonical,no,diseases of children for nurses,mccombs robert s 1880::diseases of children for nurses,469,0,52,0,0,0,0,Uncovered family; 2 works in family; 0 chunked; 2 discovered; topics: hygiene;nursing; recommended lane: nlm-digital-collections; canonical candidate
14,1476,uncovered_family,family-catalogue-of-medical-books-co-wdt-9017483f88,Catalogue of medical books,nlm-101220398,2,0,2,0,nlm-digital-collections,US,materia-medica,nlm-101220398,"Catalogue of medical books : comprising all the late publications on anatomy, medicine, surgery, midwifery, materia medica, medical jurisprudence, etc. etc",nlm-digital-collections,US,William D. Ticknor & Co.,,discovered,canonical,no,catalogue of medical books,william d ticknor and co::catalogue of medical books,472,0,62,0,0,0,0,Uncovered family; 2 works in family; 0 chunked; 2 discovered; topics: materia-medica; recommended lane: nlm-digital-collections; canonical candidate
15,1476,uncovered_family,family-report-on-the-medical-management-of-the-native-j-fd0a69d9c7,A report on the medical management of the native jails throughout the territories subject to the governments of Fort William and Agra,wellcome-uxg2mt59,1,0,1,0,wellcome-collection,UK,hygiene;public-health,wellcome-uxg2mt59,A report on the medical management of the native jails throughout the territories subject to the governments of Fort William and Agra : to which are added some observations on the principal diseases to which native prisoners are liable / by James Hutchinson.,wellcome-collection,UK,,1835,discovered,canonical,no,report on the medical management of the native jails throughout the territories subject to the governments of fort william and agra,unknown::report on the medical management of the native jails throughout the territories subject to the governments of fort william and agra,482,0,56,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: hygiene;public-health; recommended lane: wellcome-collection; canonical candidate
16,1475,uncovered_family,family-pharmacopoeia-extemporanea-sive-praescriptorum-c-d164adff96,"Pharmacopoeia extemporanea, sive praescriptorum chilias, in qua remediorum ... paradigmata",wellcome-vfukwnz4,3,0,3,0,wellcome-collection,UK,pharmacopoeia,wellcome-vfukwnz4,"Pharmacopoeia extemporanea, sive praescriptorum chilias, in qua remediorum ... paradigmata : ad omnes fere medendi intentiones accommodata, candide proponuntur / [Thomas Fuller].",wellcome-collection,UK,,1776,discovered,canonical,no,pharmacopoeia extemporanea sive praescriptorum chilias in qua remediorum paradigmata,unknown::pharmacopoeia extemporanea sive praescriptorum chilias in qua remediorum paradigmata,473,0,28,0,0,0,0,Uncovered family; 3 works in family; 0 chunked; 3 discovered; topics: pharmacopoeia; recommended lane: wellcome-collection; canonical candidate
17,1475,uncovered_family,family-botany-at-the-rochester-meeting-of-the-american--c421838869,Botany at the Rochester meeting of the American Association for the Advancement of Science,nlm-101731070,1,0,1,0,nlm-digital-collections,US,botany;pharmacopoeia,nlm-101731070,Botany at the Rochester meeting of the American Association for the Advancement of Science ; North American botanists and botanical nomenclature ; A supplement to the revision of the botanical names of the U.S. Pharmacopoeia printed in the Bulletin of pharmacy for July 1892 / by H.H. Rusby,nlm-digital-collections,US,"Rusby, Henry Hurd, 1855-1940 author.",,discovered,canonical,no,botany at the rochester meeting of the american association for the advancement of science,rusby henry hurd 1855 1940::botany at the rochester meeting of the american association for the advancement of science,475,0,72,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: botany;pharmacopoeia; recommended lane: nlm-digital-collections; canonical candidate
18,1475,uncovered_family,family-macis-rusby-hh1-fcb863af56,Macis,nlm-101722799,1,0,1,0,nlm-digital-collections,US,botany;pharmacopoeia,nlm-101722799,Macis : its botanical nature : a criticism on the United States Pharmacopoeia,nlm-digital-collections,US,"Rusby, Henry Hurd, 1855-1940 author.",,discovered,canonical,no,macis,rusby henry hurd 1855 1940::macis,475,0,72,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: botany;pharmacopoeia; recommended lane: nlm-digital-collections; canonical candidate
19,1473,uncovered_family,family-report-on-the-u-s-pharmacopoeia-squibb-er1-df8c3d4c0b,Report on the U. S. Pharmacopoeia,nlm-61820500R,2,0,2,0,nlm-digital-collections;wellcome-collection,UK;US,pharmacopoeia,nlm-61820500R,"Report on the U. S. Pharmacopoeia ; Note on rhubarb for 1869 ; Note on collodion, by F.C. Mussgiller ; Liquor opii compositus",nlm-digital-collections,US,"Squibb, Edward Robinson, 1819-1900 author.",,discovered,canonical,no,report on the u s pharmacopoeia,squibb edward robinson 1819 1900::report on the u s pharmacopoeia,461,0,28,0,0,0,0,Uncovered family; 2 works in family; 0 chunked; 2 discovered; topics: pharmacopoeia; recommended lane: nlm-digital-collections; canonical candidate
20,1473,uncovered_family,family-hortus-suburbanus-calcuttensis-a-catalogue-of-th-9320805d37,"Hortus suburbanus calcuttensis. A catalogue of the plants which have been cultivated in the Hon. East India company’s botanical garden, Calcutta, and in the Serampore botanical garden ... from the beginning of both establishments (1786 and 1800) to the end of August 1841 ...",wellcome-hespn2p5,1,0,1,0,wellcome-collection,UK,botany,wellcome-hespn2p5,"Hortus suburbanus calcuttensis.  A catalogue of the plants which have been cultivated in the Hon. East India company’s botanical garden, Calcutta, and in the Serampore botanical garden ... from the beginning of both establishments (1786 and 1800) to the end of August 1841 ... / by J.O. Voigt.",wellcome-collection,UK,,1845,discovered,canonical,no,hortus suburbanus calcuttensis a catalogue of the plants which have been cultivated in the hon east india companys botanical garden calcutta and in the serampore botanical garden from the beginning of both establishments 1786 and 1800 to the end of august 1841,unknown::hortus suburbanus calcuttensis a catalogue of the plants which have been cultivated in the hon east india companys botanical garden calcutta and in the serampore botanical garden from the beginning of both establishments 1786 and 1800 to the end of august 1841,481,0,54,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: botany; recommended lane: wellcome-collection; canonical candidate
21,1472,uncovered_family,family-lectures-on-the-sanitation-of-industries-and-occ-37a33b022e,[Lectures on the sanitation of industries and occupations].,wellcome-cejc9grv,1,0,1,0,wellcome-collection,UK,hygiene;public-health,wellcome-cejc9grv,[Lectures on the sanitation of industries and occupations].,wellcome-collection,UK,,1893,discovered,canonical,no,lectures on the sanitation of industries and occupations,unknown::lectures on the sanitation of industries and occupations,478,0,56,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: hygiene;public-health; recommended lane: wellcome-collection; canonical candidate
22,1472,uncovered_family,family-army-sanitation-unknown-69b168716f,Army sanitation,wellcome-bu2r7u5r,1,0,1,0,wellcome-collection,UK,hygiene;public-health,wellcome-bu2r7u5r,"Army sanitation : a course of lectures delivered at the school of military engineering, Chatham / by Sir Douglas Galton.",wellcome-collection,UK,,1887,discovered,canonical,no,army sanitation,unknown::army sanitation,478,0,56,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: hygiene;public-health; recommended lane: wellcome-collection; canonical candidate
23,1472,uncovered_family,family-documents-of-the-u-s-sanitary-commission-unknown-832ec2c4bf,Documents of the U.S. Sanitary Commission.,wellcome-tnax9c5r,1,0,1,0,wellcome-collection,UK,hygiene;public-health,wellcome-tnax9c5r,Documents of the U.S. Sanitary Commission.,wellcome-collection,UK,,1866,discovered,canonical,no,documents of the u s sanitary commission,unknown::documents of the u s sanitary commission,478,0,56,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: hygiene;public-health; recommended lane: wellcome-collection; canonical candidate
24,1472,uncovered_family,family-hints-and-suggestions-on-school-architecture-and-8ec68ad5cb,Hints and suggestions on school architecture and hygiene,wellcome-sp7busns,1,0,1,0,wellcome-collection,UK,hygiene;public-health,wellcome-sp7busns,Hints and suggestions on school architecture and hygiene : with plans and illustrations for the use of school trustees in Ontario / by J. George Hodgins.,wellcome-collection,UK,,1886,discovered,canonical,no,hints and suggestions on school architecture and hygiene,unknown::hints and suggestions on school architecture and hygiene,478,0,56,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: hygiene;public-health; recommended lane: wellcome-collection; canonical candidate
25,1472,uncovered_family,family-hints-for-health-unknown-de8dccf74c,Hints for health,wellcome-artpxj3j,1,0,1,0,wellcome-collection,UK,hygiene;public-health,wellcome-artpxj3j,"Hints for health : being two lectures on the influence of air, water, food, and wine on the system / by J. Sherwood Stocker.",wellcome-collection,UK,,1874,discovered,canonical,no,hints for health,unknown::hints for health,478,0,56,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: hygiene;public-health; recommended lane: wellcome-collection; canonical candidate
26,1472,uncovered_family,family-metropolitan-hygiene-in-the-past-unknown-5db81ced8d,Metropolitan hygiene in the past,wellcome-ts6fnbu8,1,0,1,0,wellcome-collection,UK,hygiene;public-health,wellcome-ts6fnbu8,Metropolitan hygiene in the past / by Francis C. Webb.,wellcome-collection,UK,,1858,discovered,canonical,no,metropolitan hygiene in the past,unknown::metropolitan hygiene in the past,478,0,56,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: hygiene;public-health; recommended lane: wellcome-collection; canonical candidate
27,1472,uncovered_family,family-regulations-for-the-duties-of-inspectors-general-19a4e0013d,Regulations for the duties of inspectors-general and deputy inspectors-general of hospitals,wellcome-f3rza2ap,1,0,1,0,wellcome-collection,UK,hygiene;public-health,wellcome-f3rza2ap,"Regulations for the duties of inspectors-general and deputy inspectors-general of hospitals : for the duties of staff and regimental medical officers for the organization of general, regimental, and field hospitals and for the duties of officers, attendants, and nurses for sanitary measures, and precautions for preserving the health of the troops for the duties of sanitary officers attached to armies and for drawing up sanitary and medical statistics and reports.",wellcome-collection,UK,,1859,discovered,canonical,no,regulations for the duties of inspectors general and deputy inspectors general of hospitals,unknown::regulations for the duties of inspectors general and deputy inspectors general of hospitals,478,0,56,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: hygiene;public-health; recommended lane: wellcome-collection; canonical candidate
28,1472,uncovered_family,family-report-of-the-barrack-and-hospital-improvement-c-09ba08eaca,Report of the Barrack and Hospital Improvement Commission on ventilation of cavalry stables.,wellcome-jeubygxe,1,0,1,0,wellcome-collection,UK,hygiene;public-health,wellcome-jeubygxe,Report of the Barrack and Hospital Improvement Commission on ventilation of cavalry stables.,wellcome-collection,UK,,1864,discovered,canonical,no,report of the barrack and hospital improvement commission on ventilation of cavalry stables,unknown::report of the barrack and hospital improvement commission on ventilation of cavalry stables,478,0,56,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: hygiene;public-health; recommended lane: wellcome-collection; canonical candidate
29,1472,uncovered_family,family-report-on-the-sanitary-condition-of-the-u-s-troo-46479cdc97,"Report on the sanitary condition of the U.S. troops in the Mississippi Valley, during the month of August",wellcome-drbsdzhz,1,0,1,0,wellcome-collection,UK,hygiene;public-health,wellcome-drbsdzhz,"Report on the sanitary condition of the U.S. troops in the Mississippi Valley, during the month of August / by J.S. Newberry.",wellcome-collection,UK,,1861,discovered,canonical,no,report on the sanitary condition of the u s troops in the mississippi valley during the month of august,unknown::report on the sanitary condition of the u s troops in the mississippi valley during the month of august,478,0,56,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: hygiene;public-health; recommended lane: wellcome-collection; canonical candidate
30,1472,uncovered_family,family-essentials-of-a-healthy-dwelling-and-the-extensi-2ff64b7377,"The essentials of a healthy dwelling, and the extension of its benefits to the labouring population",wellcome-ry59u9f8,1,0,1,0,wellcome-collection,UK,hygiene;public-health,wellcome-ry59u9f8,"The essentials of a healthy dwelling, and the extension of its benefits to the labouring population : with a special reference to the promotion of that object by H.R.H the late Prince Consort / by Henry Roberts.",wellcome-collection,UK,,1862,discovered,canonical,no,essentials of a healthy dwelling and the extension of its benefits to the labouring population,unknown::essentials of a healthy dwelling and the extension of its benefits to the labouring population,478,0,56,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: hygiene;public-health; recommended lane: wellcome-collection; canonical candidate
31,1472,uncovered_family,family-laboratory-text-book-of-public-health-unknown-ac24c61cfd,The laboratory text-book of public health,wellcome-wp6uw2gp,1,0,1,0,wellcome-collection,UK,hygiene;public-health,wellcome-wp6uw2gp,The laboratory text-book of public health / by William R. Smith.,wellcome-collection,UK,,1896,discovered,canonical,no,laboratory text book of public health,unknown::laboratory text book of public health,478,0,56,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: hygiene;public-health; recommended lane: wellcome-collection; canonical candidate
32,1472,uncovered_family,family-sanitary-commission-of-the-united-states-army-un-4d1a3ed795,The Sanitary Commission of the United States Army,wellcome-s8ud7p3y,1,0,1,0,wellcome-collection,UK,hygiene;public-health,wellcome-s8ud7p3y,The Sanitary Commission of the United States Army : a succinct narrative of its works and purposes.,wellcome-collection,UK,,1864,discovered,canonical,no,sanitary commission of the united states army,unknown::sanitary commission of the united states army,478,0,56,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: hygiene;public-health; recommended lane: wellcome-collection; canonical candidate
33,1471,uncovered_family,family-arranged-catalogues-of-the-articles-of-food-drin-c3ee09a692,"Arranged catalogues of the articles of food, drink, seasoning, and medicine; for the use of lectures on therapeutics and materia medica",wellcome-ekfnscku,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-ekfnscku,"Arranged catalogues of the articles of food, drink, seasoning, and medicine; for the use of lectures on therapeutics and materia medica / by George Pearson.",wellcome-collection,UK,,1807,discovered,canonical,no,arranged catalogues of the articles of food drink seasoning and medicine,unknown::arranged catalogues of the articles of food drink seasoning and medicine,481,0,52,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
34,1471,uncovered_family,family-continuacion-o-suplemento-a-la-materia-medica-de-e30ae303f7,"Continuacion, o Suplemento a la materia medica del libro intitulado: Compendio de la medicina, o Medicina practica",wellcome-rf7zwwnq,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-rf7zwwnq,"Continuacion, ó Suplemento a la materia medica del libro intitulado: Compendio de la medicina, ó Medicina practica / escrito por su autor Juan Manuel Venegas.",wellcome-collection,UK,,1837,discovered,canonical,no,continuacion o suplemento a la materia medica del libro intitulado compendio de la medicina o medicina practica,unknown::continuacion o suplemento a la materia medica del libro intitulado compendio de la medicina o medicina practica,481,0,52,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
35,1471,uncovered_family,family-heads-of-a-course-of-lectures-on-pathology-thera-a4f84b617f,"Heads of a course of lectures on pathology, therapeutics and materia medica",wellcome-tg29adr8,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-tg29adr8,"Heads of a course of lectures on pathology, therapeutics and materia medica : delivered in the Medical School of Guy's Hospital / by James Curry.",wellcome-collection,UK,,1804,discovered,canonical,no,heads of a course of lectures on pathology therapeutics and materia medica,unknown::heads of a course of lectures on pathology therapeutics and materia medica,481,0,52,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
36,1471,uncovered_family,family-hints-and-helps-for-home-nursing-and-hygiene-unk-282eee28f7,Hints and helps for home nursing and hygiene,wellcome-jtty2wnh,1,0,1,0,wellcome-collection,UK,hygiene;nursing,wellcome-jtty2wnh,"Hints and helps for home nursing and hygiene : a handbook for all who have to do with sickness arranged according to the syllabus of the second, or nursing, course of lectures / by E. MacDowel Cosgrave ; with the addition of a chapter on the application of the roller bandage, by R.J. Collie.",wellcome-collection,UK,,1895,discovered,canonical,no,hints and helps for home nursing and hygiene,unknown::hints and helps for home nursing and hygiene,481,0,64,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: hygiene;nursing; recommended lane: wellcome-collection; canonical candidate
37,1471,uncovered_family,family-jo-jacobi-mangeti-medicinae-doctoris-bibliotheca-5e10684707,"Jo. Jacobi Mangeti, medicinae doctoris ..., Bibliotheca pharmaceutico-medica, seu rerum ad pharmaciam Galenico-chymicam spectantium thesaurus refertissimus. In quo, ordine alphabetico non omnis tantum materia medica, historice, physice, chymice ac anatomice explicata ...",wellcome-jkjv35ym,1,0,1,0,wellcome-collection,UK,materia-medica,wellcome-jkjv35ym,"Jo. Jacobi Mangeti, medicinae doctoris ..., Bibliotheca pharmaceutico-medica, seu rerum ad pharmaciam Galenico-chymicam spectantium thesaurus refertissimus. In quo, ordine alphabetico non omnis tantùm materia medica, historicè, physicè, chymicè ac anatomicè explicata ... / [Jean Jacques Manget].",wellcome-collection,UK,,1703,discovered,canonical,no,jo jacobi mangeti medicinae doctoris bibliotheca pharmaceutico medica seu rerum ad pharmaciam galenico chymicam spectantium thesaurus refertissimus in quo ordine alphabetico non omnis tantum materia medica historice physice chymice ac anatomice explicata,unknown::jo jacobi mangeti medicinae doctoris bibliotheca pharmaceutico medica seu rerum ad pharmaciam galenico chymicam spectantium thesaurus refertissimus in quo ordine alphabetico non omnis tantum materia medica historice physice chymice ac anatomice explicata,481,0,52,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: materia-medica; recommended lane: wellcome-collection; canonical candidate
